field_ID,total_cells,t0,t0_capped,t0_empty_cells,t2,t2_capped,t2_uncapped,t2_empty_cells,removal ,assay_score
Y067,,9:00,47,,11:00,47,,,,0.00
Y051,,8:44,50,,10:44,48,,,,0.04
3-22-C,,9:25,52,,11:25,52,,,,0.00
Y079,,9:08,50,,11:08,50,,,,0.00
84-21,,10:15,45,,12:15,45,,,,0.00
BR7,,10:07,50,,12:07,48,,,,0.04
Y084,,9:20,52,,11:20,49,,,,0.06
9,,11:05:00 AM,51,,1:05,51,,,,0.00
8,,11:09:00 AM,50,,1:09,50,,,,0.00
7,,11:13:00 AM,50,,1:13,50,,,,0.00
6,,11:16:00 AM,52,,1:16,12,,,,0.77
4,,11:21:00 AM,47,3,1:21,41,,,,0.13
5,,11:24:00 AM,36,5,1:24:00 PM,36,,,,0.00
3,,11:27:00 AM,49,1,1:27:00 PM,48,,,,0.02
2,,11:29:00 AM,46,3,1:29:00 PM,3,,,,0.93
1,,11:31:00 AM,49,2,1:31:00 PM,48,,,,0.02
10,,11:38:00 AM,47,2,1:38:00 PM,47,,,,0.00
12,,11:42:00 AM,47,,1:42:00 PM,45,,,,0.04
11,,11:46:00 AM,55,,1:46:00 PM,43,,,,0.22
13,,11:48:00 AM,52,,1:48:00 PM,50,,,,0.04
30,,11:50:00 AM,49,6,1:50:00 PM,29,,,,0.41
28,,11:53:00 AM,52,,1:53:00 PM,4,,,,0.92
58,,11:58:00 AM,50,,1:58:00 PM,39,,,,0.22
16,,12:04:00 PM,43,1,2:04,1,,,,0.98
17,,12:05:00 PM,49,,2:05,49,,,,0.00
20,,12:11:00 PM,49,,2:11,19,,,,0.61
18,,12:14:00 PM,45,4,2:14,42,,,,0.07
22,,12:19:00 PM,48,1,2:19,47,,,,0.02
21,,12:21:00 PM,48,,2:21,1,,,,0.98
19,,12:24:00 PM,35,,2:24,33,,,,0.06
23,,12:33:00 PM,43,,2:33,13,,,,0.70
26,,12:35:00 PM,42,6,2:35,17,,,,0.60
25,,12:40:00 PM,55,,2:40,55,,,,0.00
27,,12:42:00 PM,48,,2:42,19,,,,0.60
24,,12:45:00 PM,34,8,2:45,1,,,,0.97
14,,,,,,,,,,
15,,,,,,,,,,
CBlue0,,9:08,45,4,11:08,37,,,,0.18
BGrn1,,9:13,49,2,11:13,35,,,,0.29
ARed3,,9:14,51,,11:14,51,,,,0.00
ARed4,,9:17,48,`2,11:17,48,,,,0.00
M44,,9:20:00 AM,49,1,11:20:00 AM,49,,,,0.00
M818,,9:22:00 AM,51,,11:22:00 AM,25,,,,0.51
B2-8,,9:25:00 AM,49,,11:25:00 AM,46,,,,0.06
T78-18A,,9:27:00 AM,52,,11:27:00 AM,52,,,,0.00
B2-7,,9:29:00 AM,38,,11:29:00 AM,29,,,,0.24
T6,,9:32:00 AM,51,1,11:32:00 AM,51,,,,0.00
M817,,9:39:00 AM,48,,11:39:00 AM,46,,,,0.04
T78-18,,9:42:00 AM,51,2,11:42:00 AM,37,,,,0.27
M72,,9:48:00 AM,45,4,11:48:00 AM,45,,,,0.00
VQ57,,9:51:00 AM,48,,11:51:00 AM,11,,,,0.77
T82,,9:53:00 AM,56,,11:53:00 AM,45,,,,0.20
Q5817,,9:58:00 AM,38,2,11:58:00 AM,30,,,,0.21
T78-18B,,10:02:00 AM,50,,12:02:00 PM,50,,,,0.00
T6A,,10:04:00 AM,50,1,12:04:00 PM,24,,,,0.52
MB1A,,10:10:00 AM,47,2,12:10:00 PM,47,,,,0.00
B1-8T,,10:13:00 AM,55,,12:13:00 PM,55,,,,0.00
MB1B,,10:18:00 AM,49,,12:18:00 PM,19,,,,0.61
G221,,10:20:00 AM,50,1,12:20:00 PM,13,,,,0.74
DRed0,,10:22:00 AM,47,,12:22:00 PM,34,,,,0.28
0WF7,,10:26:00 AM,51,,12:26:00 PM,50,,,,0.02
MB1 1/2,,10:30:00 AM,48,,12:30:00 PM,21,,,,0.56
M630,,10:32:00 AM,48,,12:32:00 PM,20,,,,0.58
MB1,,10:35:00 AM,46,,12:35:00 PM,32,,,,0.30
EYel-0,,10:38:00 AM,48,1,12:38:00 PM,44,,,,0.08
EYel+,,10:42:00 AM,55,,12:42:00 PM,55,,,,0.00
ARed1,,10:45:00 AM,55,,12:45:00 PM,46,,,,0.16
MB1C,,10:49:00 AM,53,,12:49:00 PM,49,,,,0.08
Swarm,,10:52:00 AM,50,,12:52:00 PM,50,,,,0.00
174,,9:24,48,,11:24,15,,,,0.69
175,,9:27,44,,11:27,41,,,,0.07
111,,9:31,40,,11:31,33,,,,0.18
86,,9:34,41,,11:34,37,,,,0.10
100,,9:37,41,,11:37,39,,,,0.05
108,,9:40,48,,11:40,44,,,,0.08
106,,9:42,45,,11:42,41,,,,0.09
88,,9:45,43,,11:45,33,,,,0.23
94,,9:49,43,,11:49,31,,,,0.28
110,,9:51,41,,11:51,33,,,,0.20
91,,9:59,38,,11:59,36,,,,0.05
126,,10:02,44,,12:02,32,,,,0.27
109,,10:05,40,,12:05,36,,,,0.10
116,,10:07,44,,12:07,41,,,,0.07
87,,10:09,40,,12:09,37,,,,0.08
167,,10:35,45,,12:35,44,,,,0.02
178,,10:38,47,,12:38,47,,,,0.00
168,,10:39,46,,12:39,40,,,,0.13
137,,10:41,45,,12:41,9,,,,0.80
135,,10:44,43,,12:44,42,,,,0.02
143,,10:46,43,,12:46,39,,,,0.09
170,,10:48,44,,12:48,31,,,,0.30
141,,10:51,48,,12:51,37,,,,0.23
154,,10:53,41,,12:53,32,,,,0.22
152,,10:55,44,,12:55,21,,,,0.52
140,,10:59,42,,12:59,2,,,,0.95
155,,11:02,42,,1:02,2,,,,0.95
158,,11:04,42,,1:04,5,,,,0.88
165,,11:08,44,,1:08,41,,,,0.07
164,,NA,,,NA,,,,,
157,,2:10,49,,4:10,7,,,,0.86
90,,2:17,44,,4:17,1,,,,0.98
95,,2:19,45,,4:19,12,,,,0.73
P1,,2:27,43,,4:27,9,,,,0.79
,,2:31,44,,4:31,0,,,,1.00
9,,,,,,,,,,
8,,,,,,,,,,
7,,,,,,,,,,
6,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
3,,,,,,,,,,
2,,,,,,,,,,
1,,,,,,,,,,
10,,,,,,,,,,
12,,,,,,,,,,
11,,,,,,,,,,
13,,,,,,,,,,
30,,,,,,,,,,
28,,,,,,,,,,
58,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
20,,,,,,,,,,
18,,,,,,,,,,
22,,,,,,,,,,
21,,,,,,,,,,
19,,,,,,,,,,
23,,,,,,,,,,
26,,,,,,,,,,
25,,,,,,,,,,
27,,,,,,,,,,
24,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
CBlue0,,,,,,,,,,
BGrn1,,,,,,,,,,
ARed3,,,,,,,,,,
ARed4,,,,,,,,,,
M44,,,,,,,,,,
M818,,,,,,,,,,
B2-8,,,,,,,,,,
T78-18A,,,,,,,,,,
B2-7,,,,,,,,,,
T6,,,,,,,,,,
M817,,,,,,,,,,
T78-18,,,,,,,,,,
M72,,,,,,,,,,
VQ57,,,,,,,,,,
T82,,,,,,,,,,
Q5817,,,,,,,,,,
T78-18B,,,,,,,,,,
T6A,,,,,,,,,,
MB1A,,,,,,,,,,
B1-8T,,,,,,,,,,
MB1B,,,,,,,,,,
G221,,,,,,,,,,
DRed0,,,,,,,,,,
0WF7,,,,,,,,,,
MB1 1/2,,,,,,,,,,
M630,,,,,,,,,,
MB1,,,,,,,,,,
EYel-0,,,,,,,,,,
EYel+,,,,,,,,,,
ARed1,,,,,,,,,,
MB1C,,,,,,,,,,
Swarm,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
111,,,,,,,,,,
86,,,,,,,,,,
100,,,,,,,,,,
108,,,,,,,,,,
106,,,,,,,,,,
88,,,,,,,,,,
94,,,,,,,,,,
110,,,,,,,,,,
91,,,,,,,,,,
126,,,,,,,,,,
109,,,,,,,,,,
116,,,,,,,,,,
87,,,,,,,,,,
167,,,,,,,,,,
178,,,,,,,,,,
168,,,,,,,,,,
137,,,,,,,,,,
135,,,,,,,,,,
143,,,,,,,,,,
170,,,,,,,,,,
141,,,,,,,,,,
154,,,,,,,,,,
152,,,,,,,,,,
140,,,,,,,,,,
155,,,,,,,,,,
158,,,,,,,,,,
165,,,,,,,,,,
164,,,,,,,,,,
142,,,,,,,,,,
9,,,,,,,,,,
8,,,,,,,,,,
7,,,,,,,,,,
6,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
3,,,,,,,,,,
2,,,,,,,,,,
1,,,,,,,,,,
10,,,,,,,,,,
12,,,,,,,,,,
11,,,,,,,,,,
13,,,,,,,,,,
30,,,,,,,,,,
28,,,,,,,,,,
58,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
20,,,,,,,,,,
18,,,,,,,,,,
22,,,,,,,,,,
21,,,,,,,,,,
19,,,,,,,,,,
23,,,,,,,,,,
26,,,,,,,,,,
25,,,,,,,,,,
27,,,,,,,,,,
24,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
BGrn1,,,,,,,,,,
ARed4,,,,,,,,,,
M818,,,,,,,,,,
T78-18A,,,,,,,,,,
T6,,,,,,,,,,
T78-18,,,,,,,,,,
T82,,,,,,,,,,
T78-18B,,,,,,,,,,
T6A,,,,,,,,,,
MB1A,,,,,,,,,,
B1-8T,,,,,,,,,,
MB1B,,,,,,,,,,
G221,,,,,,,,,,
DRed0,,,,,,,,,,
M630,,,,,,,,,,
EYel-0,,,,,,,,,,
EYel+,,,,,,,,,,
JackVQ1,,10:50:00 AM,49,,12:50:00 PM,47,,,,0.04
JackVQ2,,10:55:00 AM,50,,12:55:00 PM,35,,,,0.30
JackVQ3,,10:56:00 AM,52,,12:56:00 PM,24,,,,0.54
JackVQ5,,11:00:00 AM,49,,1:00:00 PM,15,,,,0.69
JackQC7,,11:05:00 AM,48,,1:05:00 PM,46,,,,0.04
JackVQ8,,11:08:00 AM,42,,1:08:00 PM,39,,,,0.07
VQ57-9,,11:15:00 AM,47,,1:15:00 PM,47,,,,0.00
VQ57-10,,11:18:00 AM,42,,1:18:00 PM,28,,,,0.33
VQ57-11,,11:23:00 AM,44,,1:23:00 PM,42,,,,0.05
VQ57-12,,11:26:00 AM,44,,1:26:00 PM,23,,,,0.48
VQ57-13,,11:34:00 AM,42,,1:34:00 PM,27,,,,0.36
VQ57-14,,11:36:00 AM,46,,1:36:00 PM,24,,,,0.48
VQ57-15,,11:38:00 AM,47,,1:38:00 PM,45,,,,0.04
VQ57-16,,11:45:00 AM,47,,1:45:00 PM,14,,,,0.70
VQ57-17,,11:47:00 AM,43,,1:47:00 PM,13,,,,0.70
G221-18,,11:48:00 AM,47,,1:48:00 PM,42,,,,0.11
VQ57-19,,11:54:00 AM,48,,1:54:00 PM,41,,,,0.15
VQ57-20,,11:56:00 AM,45,,1:56:00 PM,34,,,,0.24
VQ57-21,,11:59:00 AM,48,,1:59:00 PM,39,,,,0.19
VQ57-22,,12:03:00 PM,46,,2:03:00 PM,13,,,,0.72
VQ57-23,,12:07:00 PM,43,,2:07:00 PM,22,,,,0.49
56Red,,11:00:00 AM,53,,1:00:00 PM,53,,,,0.00
57Blue,,11:02:00 AM,48,,1:02:00 PM,45,,,,0.06
51White,,11:04:00 AM,56,,1:04:00 PM,6,,,,0.89
54White,,11:08:00 AM,51,,1:08:00 PM,7,,,,0.86
53White,,11:11:00 AM,45,,1:11:00 PM,44,,,,0.02
56White,,11:14:00 AM,51,,1:14:00 PM,41,,,,0.20
55Red,,11:17:00 AM,49,,1:17:00 PM,49,,,,0.00
51Blue,,11:20:00 AM,47,,1:20:00 PM,47,,,,0.00
59Blue,,11:23:00 AM,48,,1:23:00 PM,39,,,,0.19
56Blue,,11:29:00 AM,47,,1:29:00 PM,47,,,,0.00
56White,,11:33:00 AM,50,,1:33:00 PM,50,,,,0.00
59Green,,11:35:00 AM,49,,1:35:00 PM,49,,,,0.00
53Blue,,11:39:00 AM,50,,1:39:00 PM,49,,,,0.02
61Green,,11:44:00 AM,55,,1:44:00 PM,55,,,,0.00
54Green,,11:47:00 AM,48,,1:47:00 PM,1,,,,0.98
55Blue,,11:51:00 AM,49,,1:51:00 PM,49,,,,0.00
52Blue,,11:54:00 AM,47,,1:54:00 PM,47,,,,0.00
53Green,,11:56:00 AM,45,,1:56:00 PM,1,,,,0.98
63White,,12:00:00 PM,52,,2:00:00 PM,51,,,,0.02
62White,,12:02:00 PM,49,,2:02:00 PM,36,,,,0.27
64White,,12:07:00 PM,49,,2:07:00 PM,46,,,,0.06
59White,,12:09:00 PM,48,,2:09:00 PM,28,,,,0.42
A1,,10:14:00 AM,50,,12:14:00 PM,47,,,,0.06
A2,,10:20:00 AM,47,,12:20:00 PM,44,,,,0.06
A3,,10:22:00 AM,46,,12:22:00 PM,46,,,,0.00
A4,,10:30:00 AM,50,,12:30:00 PM,44,,,,0.12
A5,,10:35:00 AM,47,,12:35:00 PM,43,,,,0.09
A6,,10:38:00 AM,48,,12:38:00 PM,31,,,,0.35
A7,,10:44:00 AM,53,,12:44:00 PM,13,,,,0.75
A8,,10:48:00 AM,47,,12:48:00 PM,47,,,,0.00
A9,,10:54:00 AM,52,,12:54:00 PM,52,,,,0.00
A10,,10:56:00 AM,54,,12:56:00 PM,54,,,,0.00
184,,9:11:00 AM,45,,11:11:00 AM,43,,,,0.04
185,,9:15:00 AM,47,,11:15:00 AM,45,,,,0.04
186,,9:10:00 AM,52,,11:10:00 AM,52,,,,0.00
187,,9:13:00 AM,50,,11:13:00 AM,49,,,,0.02
213,,9:25:00 AM,46,,11:25:00 AM,46,,,,0.00
214,,9:20:00 AM,50,,11:20:00 AM,29,,,,0.42
188,,9:26:00 AM,52,,11:26:00 AM,16,,,,0.69
189,,9:30:00 AM,46,,11:30:00 AM,40,,,,0.13
193,,9:28:00 AM,49,,11:28:00 AM,0,,,,1.00
192,,9:35:00 AM,47,,11:35:00 AM,47,,,,0.00
190,,9:33:00 AM,50,,11:33:00 AM,50,,,,0.00
191,,9:36:00 AM,49,,11:36:00 AM,39,,,,0.20
199,,9:41:00 AM,54,,11:41:00 AM,54,,,,0.00
